WWCNamingServer listening on port: 3030
Bind \localhost:3030id1 to rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55208
Bind \localhost:3030id2 to rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55210
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55210
Bind \localhost:3030id3 to rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55212
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55212
Bind \localhost:3030id4 to rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55214
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55214
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55216
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55216
Query \localhost:3030id4 Get rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55216
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55216
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55216
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55216
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55216
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55210
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55210
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55210
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55210
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55212
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55212
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55208
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55208
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55208
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55208
Query \localhost:3030id3 Get rmsp://127.0.1.1:45837/UAL/1519252854222/1, from /127.0.0.1:55208
Query \localhost:3030id4 Get rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55208
Query \localhost:3030id4 Get rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55208
Query \localhost:3030id4 Get rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55208
Query \localhost:3030id2 Get rmsp://127.0.1.1:43301/UAL/1519252853215/1, from /127.0.0.1:55208
Query \localhost:3030id4 Get rmsp://127.0.1.1:39447/UAL/1519252855228/1, from /127.0.0.1:55208
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55214
Query \localhost:3030id1 Get rmsp://127.0.1.1:42289/UAL/1519252852257/1, from /127.0.0.1:55214
