WWCNamingServer listening on port: 3030
Bind /id11 to rmsp://127.0.1.1:59997/UAL/1573955709794/1, from /127.0.0.1:60007
Bind /id16 to rmsp://127.0.1.1:59999/UAL/1573955709947/1, from /127.0.0.1:60011
Bind /id17 to rmsp://127.0.1.1:59998/UAL/1573955709977/1, from /127.0.0.1:60010
Bind /id12 to rmsp://127.0.1.1:60000/UAL/1573955710204/1, from /127.0.0.1:60012
Bind /id19 to rmsp://127.0.1.1:60005/UAL/1573955710232/1, from /127.0.0.1:60013
Bind /id20 to rmsp://127.0.1.1:60001/UAL/1573955710257/1, from /127.0.0.1:60014
Bind /id13 to rmsp://127.0.1.1:60002/UAL/1573955710269/1, from /127.0.0.1:60015
Bind /id14 to rmsp://127.0.1.1:60004/UAL/1573955710305/1, from /127.0.0.1:60016
Bind /id18 to rmsp://127.0.1.1:60006/UAL/1573955710251/1, from /127.0.0.1:60017
Bind /id1 to rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60018
Bind /id15 to rmsp://127.0.1.1:60009/UAL/1573955710492/1, from /127.0.0.1:60019
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60011
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60010
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60011
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60007
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60010
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60011
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60007
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60010
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60007
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60015
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60013
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60014
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60014
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60015
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60013
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60012
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60014
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60015
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60013
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60012
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60017
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60012
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60017
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60016
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60017
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60016
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60016
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60019
Query /id11 Get rmsp://127.0.1.1:59997/UAL/1573955709794/1, from /127.0.0.1:60027
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60019
Query /id12 Get rmsp://127.0.1.1:60000/UAL/1573955710204/1, from /127.0.0.1:60027
Query /id1 Get rmsp://127.0.1.1:60008/UAL/1573955710420/1, from /127.0.0.1:60019
Query /id16 Get rmsp://127.0.1.1:59999/UAL/1573955709947/1, from /127.0.0.1:60018
Query /id13 Get rmsp://127.0.1.1:60002/UAL/1573955710269/1, from /127.0.0.1:60027
Query /id16 Get rmsp://127.0.1.1:59999/UAL/1573955709947/1, from /127.0.0.1:60018
Query /id14 Get rmsp://127.0.1.1:60004/UAL/1573955710305/1, from /127.0.0.1:60027
Query /id13 Get rmsp://127.0.1.1:60002/UAL/1573955710269/1, from /127.0.0.1:60018
Query /id15 Get rmsp://127.0.1.1:60009/UAL/1573955710492/1, from /127.0.0.1:60027
Query /id19 Get rmsp://127.0.1.1:60005/UAL/1573955710232/1, from /127.0.0.1:60018
Query /id16 Get rmsp://127.0.1.1:59999/UAL/1573955709947/1, from /127.0.0.1:60027
Query /id17 Get rmsp://127.0.1.1:59998/UAL/1573955709977/1, from /127.0.0.1:60027
Query /id11 Get rmsp://127.0.1.1:59997/UAL/1573955709794/1, from /127.0.0.1:60018
Query /id18 Get rmsp://127.0.1.1:60006/UAL/1573955710251/1, from /127.0.0.1:60027
Query /id17 Get rmsp://127.0.1.1:59998/UAL/1573955709977/1, from /127.0.0.1:60018
Query /id19 Get rmsp://127.0.1.1:60005/UAL/1573955710232/1, from /127.0.0.1:60027
Query /id20 Get rmsp://127.0.1.1:60001/UAL/1573955710257/1, from /127.0.0.1:60027
Query /id12 Get rmsp://127.0.1.1:60000/UAL/1573955710204/1, from /127.0.0.1:60018
Query /id20 Get rmsp://127.0.1.1:60001/UAL/1573955710257/1, from /127.0.0.1:60018
Query /id15 Get rmsp://127.0.1.1:60009/UAL/1573955710492/1, from /127.0.0.1:60018
Query /id14 Get rmsp://127.0.1.1:60004/UAL/1573955710305/1, from /127.0.0.1:60018
Query /id18 Get rmsp://127.0.1.1:60006/UAL/1573955710251/1, from /127.0.0.1:60018
Query /id12 Get rmsp://127.0.1.1:60000/UAL/1573955710204/1, from /127.0.0.1:60018
Query /id17 Get rmsp://127.0.1.1:59998/UAL/1573955709977/1, from /127.0.0.1:60018
Query /id11 Get rmsp://127.0.1.1:59997/UAL/1573955709794/1, from /127.0.0.1:60018
