Received speaker: uan://localhost:3030/id15 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id15
[Speaker Local]: QUESTION: User 5: Question 666.; Timestamp: 2019-11-13 23:13:41.05
[Speaker Local]: QUESTION: User 5: Question 997.; Timestamp: 2019-11-13 23:13:45.362
[Speaker Local]: QUESTION: User 5: Question 655.; Timestamp: 2019-11-13 23:13:45.364
[Speaker Local]: QUESTION: User 5: Question 33.; Timestamp: 2019-11-13 23:13:45.364
[Speaker Local]: QUESTION: User 5: Question 336.; Timestamp: 2019-11-13 23:13:45.366
[Speaker Local]: QUESTION: User 5: Question 672.; Timestamp: 2019-11-13 23:13:45.367
[Speaker Local]: QUESTION: User 5: Question 263.; Timestamp: 2019-11-13 23:13:45.367
[Speaker Local]: QUESTION: User 5: Question 225.; Timestamp: 2019-11-13 23:13:45.369
[Speaker Local]: QUESTION: User 5: Question 709.; Timestamp: 2019-11-13 23:13:45.369
[Speaker Local]: QUESTION: User 5: Question 797.; Timestamp: 2019-11-13 23:13:45.372
[Speaker Local]: QUESTION: User 5: Question 325.; Timestamp: 2019-11-13 23:13:45.375
[Speaker Local]: QUESTION: User 5: Question 434.; Timestamp: 2019-11-13 23:13:45.376
[Speaker Local]: QUESTION: User 5: Question 363.; Timestamp: 2019-11-13 23:13:45.377
[Speaker Local]: QUESTION: User 5: Question 810.; Timestamp: 2019-11-13 23:13:45.378
[Speaker Local]: QUESTION: User 5: Question 687.; Timestamp: 2019-11-13 23:13:45.379
[Speaker Local]: QUESTION: User 5: Question 267.; Timestamp: 2019-11-13 23:13:45.381
[Speaker Local]: QUESTION: User 5: Question 978.; Timestamp: 2019-11-13 23:13:45.382
[Speaker Local]: QUESTION: User 5: Question 192.; Timestamp: 2019-11-13 23:13:45.383
[Speaker Local]: QUESTION: User 5: Question 164.; Timestamp: 2019-11-13 23:13:45.384
[Speaker Local]: QUESTION: User 5: Question 165.; Timestamp: 2019-11-13 23:13:45.385
[Speaker Local]: QUESTION: User 5: Question 965.; Timestamp: 2019-11-13 23:13:45.388
[Speaker Local]: QUESTION: User 5: Question 953.; Timestamp: 2019-11-13 23:13:45.393
[Speaker Local]: QUESTION: User 5: Question 599.; Timestamp: 2019-11-13 23:13:45.395
[Speaker Local]: QUESTION: User 5: Question 202.; Timestamp: 2019-11-13 23:13:45.396
[Speaker Local]: QUESTION: User 5: Question 293.; Timestamp: 2019-11-13 23:13:45.399
[Speaker Local]: QUESTION: User 5: Question 620.; Timestamp: 2019-11-13 23:13:45.4
[Speaker Local]: QUESTION: User 5: Question 57.; Timestamp: 2019-11-13 23:13:45.402
[Speaker Local]: QUESTION: User 5: Question 397.; Timestamp: 2019-11-13 23:13:46.035
[Speaker Local]: QUESTION: User 5: Question 194.; Timestamp: 2019-11-13 23:13:46.036
