WWCNamingServer listening on port: 3030
Bind \localhost:3030id7 to rmsp://127.0.1.1:59981/UAL/1574819158532/1, from /127.0.0.1:59985
Bind \localhost:3030id2 to rmsp://127.0.1.1:59982/UAL/1574819158576/1, from /127.0.0.1:59988
Bind \localhost:3030id1 to rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59990
Bind \localhost:3030id3 to rmsp://127.0.1.1:59984/UAL/1574819158585/1, from /127.0.0.1:59992
Bind \localhost:3030id8 to rmsp://127.0.1.1:59986/UAL/1574819158863/1, from /127.0.0.1:59995
Bind \localhost:3030id6 to rmsp://127.0.1.1:59987/UAL/1574819158885/1, from /127.0.0.1:59996
Bind \localhost:3030id5 to rmsp://127.0.1.1:59989/UAL/1574819158904/1, from /127.0.0.1:59997
Bind \localhost:3030id10 to rmsp://127.0.1.1:59991/UAL/1574819159034/1, from /127.0.0.1:60000
Bind \localhost:3030id4 to rmsp://127.0.1.1:59993/UAL/1574819159113/1, from /127.0.0.1:60001
Bind \localhost:3030id9 to rmsp://127.0.1.1:59994/UAL/1574819159123/1, from /127.0.0.1:60002
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59988
Bind \localhost:3030id11 to rmsp://127.0.1.1:59999/UAL/1574819159243/1, from /127.0.0.1:60004
Bind \localhost:3030id12 to rmsp://127.0.1.1:59998/UAL/1574819159221/1, from /127.0.0.1:60005
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59988
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59985
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59988
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59985
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59992
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59995
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59985
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59992
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59995
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59995
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59992
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59997
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60001
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59996
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59997
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60001
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60000
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59996
Query \localhost:3030id2 Get rmsp://127.0.1.1:59982/UAL/1574819158576/1, from /127.0.0.1:59990
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59997
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60002
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60001
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:59996
Query \localhost:3030id2 Get rmsp://127.0.1.1:59982/UAL/1574819158576/1, from /127.0.0.1:59990
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60000
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60004
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60000
Query \localhost:3030id3 Get rmsp://127.0.1.1:59984/UAL/1574819158585/1, from /127.0.0.1:59990
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60002
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60004
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60002
Query \localhost:3030id7 Get rmsp://127.0.1.1:59981/UAL/1574819158532/1, from /127.0.0.1:59990
Query \localhost:3030id1 Get rmsp://127.0.1.1:59983/UAL/1574819158599/1, from /127.0.0.1:60004
Query \localhost:3030id8 Get rmsp://127.0.1.1:59986/UAL/1574819158863/1, from /127.0.0.1:59990
Query \localhost:3030id2 Get rmsp://127.0.1.1:59982/UAL/1574819158576/1, from /127.0.0.1:60015
Query \localhost:3030id3 Get rmsp://127.0.1.1:59984/UAL/1574819158585/1, from /127.0.0.1:60015
Query \localhost:3030id4 Get rmsp://127.0.1.1:59993/UAL/1574819159113/1, from /127.0.0.1:59990
Query \localhost:3030id4 Get rmsp://127.0.1.1:59993/UAL/1574819159113/1, from /127.0.0.1:60015
Query \localhost:3030id5 Get rmsp://127.0.1.1:59989/UAL/1574819158904/1, from /127.0.0.1:59990
Query \localhost:3030id5 Get rmsp://127.0.1.1:59989/UAL/1574819158904/1, from /127.0.0.1:60015
Query \localhost:3030id6 Get rmsp://127.0.1.1:59987/UAL/1574819158885/1, from /127.0.0.1:60015
Query \localhost:3030id10 Get rmsp://127.0.1.1:59991/UAL/1574819159034/1, from /127.0.0.1:59990
Query \localhost:3030id7 Get rmsp://127.0.1.1:59981/UAL/1574819158532/1, from /127.0.0.1:60015
Query \localhost:3030id9 Get rmsp://127.0.1.1:59994/UAL/1574819159123/1, from /127.0.0.1:59990
Query \localhost:3030id8 Get rmsp://127.0.1.1:59986/UAL/1574819158863/1, from /127.0.0.1:60015
Query \localhost:3030id9 Get rmsp://127.0.1.1:59994/UAL/1574819159123/1, from /127.0.0.1:59990
Query \localhost:3030id9 Get rmsp://127.0.1.1:59994/UAL/1574819159123/1, from /127.0.0.1:60015
Query \localhost:3030id10 Get rmsp://127.0.1.1:59991/UAL/1574819159034/1, from /127.0.0.1:60015
Query \localhost:3030id6 Get rmsp://127.0.1.1:59987/UAL/1574819158885/1, from /127.0.0.1:59990
Query \localhost:3030id11 Get rmsp://127.0.1.1:59999/UAL/1574819159243/1, from /127.0.0.1:60015
Query \localhost:3030id10 Get rmsp://127.0.1.1:59991/UAL/1574819159034/1, from /127.0.0.1:59990
Query \localhost:3030id12 Get rmsp://127.0.1.1:59998/UAL/1574819159221/1, from /127.0.0.1:60015
Query \localhost:3030id11 Get rmsp://127.0.1.1:59999/UAL/1574819159243/1, from /127.0.0.1:59990
Query \localhost:3030id11 Get rmsp://127.0.1.1:59999/UAL/1574819159243/1, from /127.0.0.1:59990
Query \localhost:3030id5 Get rmsp://127.0.1.1:59989/UAL/1574819158904/1, from /127.0.0.1:59990
Query \localhost:3030id4 Get rmsp://127.0.1.1:59993/UAL/1574819159113/1, from /127.0.0.1:59990
Query \localhost:3030id8 Get rmsp://127.0.1.1:59986/UAL/1574819158863/1, from /127.0.0.1:59990
Query \localhost:3030id7 Get rmsp://127.0.1.1:59981/UAL/1574819158532/1, from /127.0.0.1:59990
Query \localhost:3030id3 Get rmsp://127.0.1.1:59984/UAL/1574819158585/1, from /127.0.0.1:59990
Query \localhost:3030id6 Get rmsp://127.0.1.1:59987/UAL/1574819158885/1, from /127.0.0.1:59990
