WWCNamingServer listening on port: 3030
Bind \localhost:3030id5 to rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60021
Bind \localhost:3030id3 to rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60024
Bind \localhost:3030id1 to rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60025
Bind \localhost:3030id2 to rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60026
Bind \localhost:3030id4 to rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60028
Bind \localhost:3030id7 to rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60029
Bind \localhost:3030id6 to rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60030
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60021
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60024
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60021
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60024
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60021
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60024
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60028
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60028
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60026
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60028
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60026
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60030
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60026
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60030
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60030
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60025
Query \localhost:3030id2 Get rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60035
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60025
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60035
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60025
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60035
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60035
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60035
Query \localhost:3030id2 Get rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60035
Query \localhost:3030id2 Get rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60025
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60025
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60025
Query \localhost:3030id2 Get rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60035
Query \localhost:3030id2 Get rmsp://127.0.1.1:60017/UAL/1571290688326/1, from /127.0.0.1:60035
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60035
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60035
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60035
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60035
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60035
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60035
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60035
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60035
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60029
Query \localhost:3030id1 Get rmsp://127.0.1.1:60018/UAL/1571290688343/1, from /127.0.0.1:60029
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60025
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60025
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60025
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60025
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id7 Get rmsp://127.0.1.1:60022/UAL/1571290688543/1, from /127.0.0.1:60025
Query \localhost:3030id5 Get rmsp://127.0.1.1:60016/UAL/1571290688290/1, from /127.0.0.1:60025
Query \localhost:3030id3 Get rmsp://127.0.1.1:60019/UAL/1571290688363/1, from /127.0.0.1:60025
Query \localhost:3030id4 Get rmsp://127.0.1.1:60020/UAL/1571290688479/1, from /127.0.0.1:60025
Query \localhost:3030id6 Get rmsp://127.0.1.1:60027/UAL/1571290688626/1, from /127.0.0.1:60025
